audio_path,transcript,duration
timit/data/TRAIN/DR4/MMDM0/SI681.WAV,would such an act of refusal be useful,39936
timit/data/TRAIN/DR4/MMDM0/SX411.WAV,butterscotch fudge goes well with vanilla ice cream,56116
timit/data/TRAIN/DR4/MMDM0/SX231.WAV,i honor my mom,25908
timit/data/TRAIN/DR4/MMDM0/SX51.WAV,ambidextrous pickpockets accomplish more,44749
timit/data/TRAIN/DR4/MMDM0/SX141.WAV,pledge to participate in nevadas aquatic competition,50586
timit/data/TRAIN/DR4/MMDM0/SI1941.WAV,well talk over at your office,29799
timit/data/TRAIN/DR4/MMDM0/SI1311.WAV,soil redeposition is evaluated by washing clean swatches with the dirty ones,86631
timit/data/TRAIN/DR4/MMDM0/SX321.WAV,the groundhog clearly saw his shadow but stayed out only a moment,57242
timit/data/TRAIN/DR4/MCSS0/SX300.WAV,amoebas change shape constantly,37991
timit/data/TRAIN/DR4/MCSS0/SX210.WAV,jeffs toy gocart never worked,37479
timit/data/TRAIN/DR4/MCSS0/SI750.WAV,add a few caraway seeds too if youd like,44237
timit/data/TRAIN/DR4/MCSS0/SI1380.WAV,there is little doubt that the students benefit from vocational education,68608
timit/data/TRAIN/DR4/MCSS0/SX390.WAV,he picked up nine pairs of socks for each brother,47924
timit/data/TRAIN/DR4/MCSS0/SX30.WAV,get a calico cat to keep,32359
timit/data/TRAIN/DR4/MCSS0/SI688.WAV,the dead spirits occupied a prominent place in every hope and in every fear,76800
timit/data/TRAIN/DR4/MCSS0/SX120.WAV,the coyote bobcat and hyena are wild animals,58164
timit/data/TRAIN/DR4/MCDR0/SI524.WAV,within a system however the autonomy of each member library is preserved,76391
timit/data/TRAIN/DR4/MCDR0/SX164.WAV,curiosity and mediocrity seldom coexist,61338
timit/data/TRAIN/DR4/MCDR0/SI1784.WAV,there was a grunt curiously inarticulate like that of an animal in pain,78132
timit/data/TRAIN/DR4/MCDR0/SI1154.WAV,only incomplete imperfect things move towards what they lack,63488
timit/data/TRAIN/DR4/MCDR0/SX74.WAV,an official deadline cannot be postponed,42292
timit/data/TRAIN/DR4/MCDR0/SX344.WAV,i know i didnt meet her early enough,40448
timit/data/TRAIN/DR4/MCDR0/SX434.WAV,each stag surely finds a big fawn,41063
timit/data/TRAIN/DR4/MCDR0/SX254.WAV,do they allow atheists in church,32973
timit/data/TRAIN/DR4/MLEL0/SI1246.WAV,he was thus an early and spectacular victim,52941
timit/data/TRAIN/DR4/MLEL0/SI1876.WAV,a voice spoke nearathand,36762
timit/data/TRAIN/DR4/MLEL0/SX166.WAV,biologists use radioactive isotopes to study microorganisms,68301
timit/data/TRAIN/DR4/MLEL0/SX76.WAV,gently place jims foam sculpture in the box,53863
timit/data/TRAIN/DR4/MLEL0/SX436.WAV,please sing just the club theme,46285
timit/data/TRAIN/DR4/MLEL0/SX346.WAV,the barracuda recoiled from the serpents poisonous fangs,54375
timit/data/TRAIN/DR4/MLEL0/SI616.WAV,he injected more vitality into the score than it has revealed in many years,75674
timit/data/TRAIN/DR4/MLEL0/SX256.WAV,the irate actor stomped away idiotically,55808
timit/data/TRAIN/DR4/FEEH0/SX302.WAV,tofu is made from processed soybeans,45773
timit/data/TRAIN/DR4/FEEH0/SI1742.WAV,with her sharp tongue shed have cut his pompousness to ribbons,53760
timit/data/TRAIN/DR4/FEEH0/SX212.WAV,i gave them several choices and let them set the priorities,53556
timit/data/TRAIN/DR4/FEEH0/SX392.WAV,a young mouse scampered across the field and disappeared,50484
timit/data/TRAIN/DR4/FEEH0/SI471.WAV,suddenly my reflexes are gone,39936
timit/data/TRAIN/DR4/FEEH0/SX32.WAV,its fun to roast marshmallows on a gas burner,45978
timit/data/TRAIN/DR4/FEEH0/SI1112.WAV,he will say that our country is even now a homogeneous community,56628
timit/data/TRAIN/DR4/FEEH0/SX122.WAV,encyclopedias seldom present anecdotal evidence,52634
timit/data/TRAIN/DR4/MFWK0/SX259.WAV,tornados often destroy acres of farm land,43623
timit/data/TRAIN/DR4/MFWK0/SI619.WAV,he praises many individuals generously,41984
timit/data/TRAIN/DR4/MFWK0/SX439.WAV,that stinging vapor was caused by chloride vaporization,54170
timit/data/TRAIN/DR4/MFWK0/SX349.WAV,the preschooler couldnt verbalize her feelings about the emergency conditions,67892
timit/data/TRAIN/DR4/MFWK0/SX79.WAV,will you please describe the idiotic predicament,43725
timit/data/TRAIN/DR4/MFWK0/SX169.WAV,how would you evaluate this algebraic expression,45364
timit/data/TRAIN/DR4/MFWK0/SI1879.WAV,that touched off a total stampede,39322
timit/data/TRAIN/DR4/MFWK0/SI1249.WAV,maybe twenty thirty fifty,39117
timit/data/TRAIN/DR4/MKAM0/SI1250.WAV,evidence that other sources of financing are unavailable must be provided,70554
timit/data/TRAIN/DR4/MKAM0/SX416.WAV,a huge power outage rarely occurs,41063
timit/data/TRAIN/DR4/MKAM0/SX146.WAV,cyclical programs will never compile,39936
timit/data/TRAIN/DR4/MKAM0/SX56.WAV,academic aptitude guarantees your diploma,45568
timit/data/TRAIN/DR4/MKAM0/SX236.WAV,clear pronunciation is appreciated,39936
timit/data/TRAIN/DR4/MKAM0/SX326.WAV,steve collects rare and novel coins,49869
timit/data/TRAIN/DR4/MKAM0/SI1316.WAV,space probes have yielded little information,46285
timit/data/TRAIN/DR4/MKAM0/SI1465.WAV,this process is especially difficult since gyro drifting is typically random,81306
timit/data/TRAIN/DR4/MSMS0/SX263.WAV,how oily do you like your salad dressing,37376
timit/data/TRAIN/DR4/MSMS0/SI2063.WAV,to his surprise his plan worked perfectly,39424
timit/data/TRAIN/DR4/MSMS0/SI803.WAV,insulate weatherstrip doubleglaze to the maximum,54477
timit/data/TRAIN/DR4/MSMS0/SX173.WAV,whoever cooperates in finding nans cameo will be rewarded,55296
timit/data/TRAIN/DR4/MSMS0/SI1433.WAV,while one element is announcing progress another is delineating its problems,68608
timit/data/TRAIN/DR4/MSMS0/SX353.WAV,a connoisseur will enjoy this shellfish dish,46592
timit/data/TRAIN/DR4/MSMS0/SX83.WAV,my instructions desperately need updating,40960
timit/data/TRAIN/DR4/MSMS0/SX443.WAV,a lone star shone in the early evening sky,43930
timit/data/TRAIN/DR4/MGJC0/SI1335.WAV,inflammatory cells were strikingly absent,50791
timit/data/TRAIN/DR4/MGJC0/SI1256.WAV,origin of state automobile practices,45466
timit/data/TRAIN/DR4/MGJC0/SX165.WAV,the easygoing zoologist relaxed throughout the voyage,60109
timit/data/TRAIN/DR4/MGJC0/SI1965.WAV,if the other pilots were worried they did not show it,52122
timit/data/TRAIN/DR4/MGJC0/SX75.WAV,fill that canteen with fresh spring water,47924
timit/data/TRAIN/DR4/MGJC0/SX345.WAV,trish saw hours and hours of movies saturday,55808
timit/data/TRAIN/DR4/MGJC0/SX435.WAV,the rich should invest in black zircons instead of stylish shoes,72090
timit/data/TRAIN/DR4/MGJC0/SX255.WAV,my ideal morning begins with hot coffee,49357
timit/data/TRAIN/DR4/FLKM0/SI686.WAV,others were ephemeral,27136
timit/data/TRAIN/DR4/FLKM0/SX260.WAV,remember to allow identical twins to enter freely,57344
timit/data/TRAIN/DR4/FLKM0/SX116.WAV,clasp the screw in your left hand,40551
timit/data/TRAIN/DR4/FLKM0/SI620.WAV,his portrayal of an edgy headintheclouds artist is virtually flawless,85607
timit/data/TRAIN/DR4/FLKM0/SX350.WAV,many wealthy tycoons splurged and bought both a yacht and a schooner,72295
timit/data/TRAIN/DR4/FLKM0/SX80.WAV,its illegal to postdate a check,37684
timit/data/TRAIN/DR4/FLKM0/SX440.WAV,the advertising verse of plymouth variety store never changes,68916
timit/data/TRAIN/DR4/FLKM0/SI1880.WAV,he picked up the powder canister and ran out,51098
timit/data/TRAIN/DR4/MMGC0/SX315.WAV,bob found more clams at the oceans edge,46388
timit/data/TRAIN/DR4/MMGC0/SX405.WAV,of course you can have another tunafish sandwich,37888
timit/data/TRAIN/DR4/MMGC0/SX225.WAV,keep the thermometer under your tongue,34612
timit/data/TRAIN/DR4/MMGC0/SX45.WAV,addition and subtraction are learned skills,41882
timit/data/TRAIN/DR4/MMGC0/SI1305.WAV,if they are not ellipsoids the conclusions will be a reasonable approximation,67789
timit/data/TRAIN/DR4/MMGC0/SI2184.WAV,either that or a veterinarian,29696
timit/data/TRAIN/DR4/MMGC0/SX135.WAV,technical writers can abbreviate in bibliographies,45466
timit/data/TRAIN/DR4/MMGC0/SI1935.WAV,in my place youd follow such advice as you give me,53351
timit/data/TRAIN/DR4/MJXL0/SX272.WAV,allow each child to have an ice pop,45159
timit/data/TRAIN/DR4/MJXL0/SI1795.WAV,he shrugged casually,27648
timit/data/TRAIN/DR4/MJXL0/SX362.WAV,the annoying raccoons slipped into phils garden every night,60724
timit/data/TRAIN/DR4/MJXL0/SI542.WAV,she came back the other day to reassure me,45773
timit/data/TRAIN/DR4/MJXL0/SI1172.WAV,he was busy he said in having someone submit to a monkeygland operation,77312
timit/data/TRAIN/DR4/MJXL0/SX92.WAV,a large household needs lots of appliances,47309
timit/data/TRAIN/DR4/MJXL0/SX182.WAV,thick glue oozed out of the tube,38093
timit/data/TRAIN/DR4/MJXL0/SX452.WAV,in developing film many toxic chemicals are used,61952
timit/data/TRAIN/DR4/MMBS0/SI521.WAV,traffic frequently has failed to measure up to engineers rosy estimates,76391
timit/data/TRAIN/DR4/MMBS0/SX71.WAV,porcupines resemble sea urchins,47719
timit/data/TRAIN/DR4/MMBS0/SI1781.WAV,the shadow vanished,32461
timit/data/TRAIN/DR4/MMBS0/SI1151.WAV,for what do the utopians labor,37274
timit/data/TRAIN/DR4/MMBS0/SX161.WAV,as a precaution the outlaws bought gunpowder for their stronghold,68506
timit/data/TRAIN/DR4/MMBS0/SX431.WAV,the fifth jar contains big juicy peaches,56832
timit/data/TRAIN/DR4/MMBS0/SX341.WAV,the high security prison was surrounded by barbed wire,53351
timit/data/TRAIN/DR4/MMBS0/SX251.WAV,we apply auditory modeling to computer speech recognition,62669
timit/data/TRAIN/DR4/MTQC0/SI1441.WAV,other morphological physical and optical property values are also given,124621
timit/data/TRAIN/DR4/MTQC0/SX271.WAV,be careful not to plow over the flower beds,49972
timit/data/TRAIN/DR4/MTQC0/SI480.WAV,range was a vital detail,38708
timit/data/TRAIN/DR4/MTQC0/SI2071.WAV,yeah but whatre we gonna eat,45056
timit/data/TRAIN/DR4/MTQC0/SX361.WAV,the speech symposium might begin monday,59597
timit/data/TRAIN/DR4/MTQC0/SX91.WAV,the misprint provoked an immediate disclaimer,56320
timit/data/TRAIN/DR4/MTQC0/SX181.WAV,rich looked for spotted hyenas and jaguars on the safari,76288
timit/data/TRAIN/DR4/MTQC0/SX451.WAV,the thick elm forest was nearly overwhelmed by dutch elm disease,82228
timit/data/TRAIN/DR4/MBWP0/SX259.WAV,tornados often destroy acres of farm land,59392
timit/data/TRAIN/DR4/MBWP0/SI709.WAV,avocados however are very rich in nutrients,52122
timit/data/TRAIN/DR4/MBWP0/SI1531.WAV,who is going to stop me,25293
timit/data/TRAIN/DR4/MBWP0/SX439.WAV,that stinging vapor was caused by chloride vaporization,54989
timit/data/TRAIN/DR4/MBWP0/SX349.WAV,the preschooler couldnt verbalize her feelings about the emergency conditions,68813
timit/data/TRAIN/DR4/MBWP0/SX79.WAV,will you please describe the idiotic predicament,52634
timit/data/TRAIN/DR4/MBWP0/SX169.WAV,how would you evaluate this algebraic expression,46183
timit/data/TRAIN/DR4/MBWP0/SI1969.WAV,if any of us miss they can pick up the pieces,43418
timit/data/TRAIN/DR4/MFRM0/SX165.WAV,the easygoing zoologist relaxed throughout the voyage,45056
timit/data/TRAIN/DR4/MFRM0/SI1155.WAV,his problem concerns longitudes latitudes and angular velocities,61748
timit/data/TRAIN/DR4/MFRM0/SI1785.WAV,on the bare floorboards a man lay face down,44647
timit/data/TRAIN/DR4/MFRM0/SX75.WAV,fill that canteen with fresh spring water,37581
timit/data/TRAIN/DR4/MFRM0/SX345.WAV,trish saw hours and hours of movies saturday,41063
timit/data/TRAIN/DR4/MFRM0/SX435.WAV,the rich should invest in black zircons instead of stylish shoes,57959
timit/data/TRAIN/DR4/MFRM0/SI1717.WAV,lullaby and goodnight his voice shook,41165
timit/data/TRAIN/DR4/MFRM0/SX255.WAV,my ideal morning begins with hot coffee,40858
timit/data/TRAIN/DR4/MJRH0/SI1125.WAV,but in every period it has been humanism,40756
